,Func 1,Func 2,Func 3,Func 4,Func 5,Func 6,Func 7,Func 8,Func 9,Func 10
37,-0.0022348458275164356,-0.0021688411092995554,-0.002091567319798354,-0.002018163430782016,-0.0019013412937893001,-0.0017674094907226875,-0.0016506134577292536,-0.0015982511552283382,-0.001548257377056049,-0.001521456230081078
38,-0.0022973555004714946,-0.0022287282256609827,-0.0021484214364607124,-0.0020721751190019774,-0.0019509106188024285,-0.0018120158368526472,-0.0016910126315350404,-0.0016368026948659433,-0.0015850680044175048,-0.0015573431016566277
39,-0.002362374995767329,-0.0022909936229017474,-0.002207503109689899,-0.002128274585535459,-0.002002352402403698,-0.001858259136941877,-0.0017328538376730723,-0.0016767121775511525,-0.0016231582517065657,-0.0015944684077257047
40,-0.002430031179078379,-0.0023557565449155993,-0.0022689228860340097,-0.002186564354268962,-0.0020557569128279215,-0.0019062164373576265,-0.0017762033638060678,-0.001718041311882631,-0.0016625856008439912,-0.0016328874236412035
41,-0.0025004582882621473,-0.0024231431437754815,-0.0023327976868550487,-0.002247152829079734,-0.0021112195392585355,-0.0019559690858486755,-0.0018211311349439463,-0.0017608551628252255,-0.0017034106319811376,-0.0016726583888015726
42,-0.0025737983784417805,-0.0024932869004679827,-0.0023992511996349785,-0.002310154656727294,-0.002168841109299684,-0.0020076029979674563,-0.00186771093745123,-0.0018052223575510938,-0.0017456972126007604,-0.001713842686993595
43,-0.002650201789266354,-0.0025663290677197556,-0.002468414291003783,-0.002375691110691756,-0.0022287282256601955,-0.0020612089402960256,-0.0019160206574322205,-0.0018512153045917522,-0.0017895126988726018,-0.0017565050385011723
44,-0.0027298276340355114,-0.002642419135073292,-0.0025404254418148883,-0.0024438904965464444,-0.002290993622901618,-0.0021168828312599485,-0.001966142534356251,-0.001898910427086092,-0.0018349281500573337,-0.0018007137046392378
45,-0.0028128443100294176,-0.0027217153158525477,-0.002615431204440186,-0.0025148885792824777,-0.0023557565449155706,-0.002174726060497797,-0.0020181634307816897,-0.001948388410988652,-0.0018820185567324096,-0.0018465407055427408
46,-0.0028994300286954216,-0.002804385055383714,-0.0026935866821397253,-0.0025888290328428933,-0.002423143143775369,-0.002234845827516729,-0.0020721751190002505,-0.001999734469056622,-0.0019308630836643243,-0.001894062051973606
47,-0.00298977336389347,-0.0028906055593080895,-0.00277505602993983,-0.0026658639117824647,-0.002493286900467709,-0.002297355500470316,-0.0021282745855363194,-0.002053038621467539,-0.00198154532817446,-0.0019433579919990382
48,-0.0030840738154420994,-0.002980564340116408,-0.0028600129760930795,-0.0027461541447168234,-0.00256632906772056,-0.0023623749957675114,-0.002186564354269044,-0.0021083959939834952,-0.0020341535948499986,-0.0019945132733423724
49,-0.0031825423842568967,-0.003074459779304353,-0.002948641362476076,-0.002829870048734176,-0.002642419135072906,-0.002430031179081252,-0.002247152829080572,-0.0021659071344472935,-0.002088781187448981,-0.002047617422322917
50,-0.0032854021541146848,-0.003172501701561863,-0.0030411357016502244,-0.002917191863366774,-0.002721715315852383,-0.002500458288263591,-0.0023101546567257597,-0.0022256783485106193,-0.0021455267188977014,-0.0021027650402017845
51,-0.003392888873631296,-0.0032749119561376445,-0.0031377017473037607,-0.0030083103021567676,-0.0028043850553836807,-0.0025737983784431063,-0.0023756911106915706,-0.0022878220553548562,-0.002204494440197883,-0.0021600561178415716
52,-0.0035052515300818226,-0.003381924999130614,-0.003238557073754971,-0.0031034271188334975,-0.0028906055593081927,-0.0026502017892642516,-0.002443890496544566,-0.002352457164110002,-0.002265794589045011,-0.00221959636943808
53,-0.003622752904589044,-0.003493788468564593,-0.0033439316587232783,-0.0032027556842351814,-0.0029805643401163377,-0.0027298276340372222,-0.0025148885792821247,-0.0024197094716333425,-0.0023295437589446744,-0.002281497586224961
54,-0.003745670095443898,-0.0036107637419886267,-0.003454068461996849,-0.003306521568679311,-0.003074459779304716,-0.002812844310028982,-0.0025888290328430095,-0.0024897120821300803,-0.0023958652894498396,-0.0023458780107931
55,-0.003874294993059863,-0.0037331264636558366,-0.003569223990457579,-0.0034149631230311825,-0.0031725017015618497,-0.002899430028696723,-0.002665863911782081,-0.0025626058488867403,-0.002464889678076726,-0.002412862732712061
56,-0.004008934686297342,-0.003861167025173727,-0.0036896688375762142,-0.0035283320497368517,-0.0032749119561375018,-0.0029897733638939356,-0.0027461541447195382,-0.0026385398382113958,-0.0025367550142968535,-0.002482584105938115
57,-0.004149911775104246,-0.003995190979725819,-0.0038156881824031952,-0.0036468939527748274,-0.003381924999130417,-0.0030840738154434824,-0.0028298700487341295,-0.0027176718153398734,-0.002611607435703784,-0.002555182188332785
58,-0.004297564559067409,-0.004135519365351012,-0.0039475822295650526,-0.0037709288527349376,-0.003493788468564531,-0.0031825423842572744,-0.00291719186336789,-0.0028001687516192057,-0.0026896016062893705,-0.00263080520340473
59,-0.004452247064879204,-0.004282488907449361,-0.004085666567488988,-0.003900731649827533,-0.0036107637419884745,-0.003285402154114711,-0.0030083103021558014,-0.0028862073518344366,-0.0027709012162765055,-0.0027096100240127296
60,-0.00461432886813907,-0.0044364520642512645,-0.004230272416947437,-0.0040366125136072715,-0.0037331264636557516,-0.003392888873631039,-0.003103427118832817,-0.0029759745998960466,-0.002855679502568361,-0.002791762677483108
61,-0.0047841946559216185,-0.00459777687140317,-0.004381746736051983,-0.004178897173446329,-0.003861167025173894,-0.0035052515300816193,-0.0032027556842341965,-0.0030696683202976758,-0.0029441197882609845,-0.002877438870986177
62,-0.004962243466220816,-0.0047668465331715,-0.004540452140668699,-0.004327927078039571,-0.003995190979725789,-0.003622752904590471,-0.0033065215686796986,-0.0031674977517983753,-0.0030364160389243517,-0.002966824535494421
63,-0.005148887528388902,-0.0049440586974015144,-0.0047067665908834995,-0.004484059385584682,-0.004135519365350966,-0.0037456700954430567,-0.003414963123032171,-0.0032696841285716634,-0.003132773432481956,-0.0030601163857942103
64,-0.005344550615102586,-0.00512982433964621,-0.004881082784494047,-0.0046476667383164175,-0.004282488907449349,-0.003874294993060498,-0.0035283320497386493,-0.003376461262614921,-0.0032334089383858084,-0.0031575224931427166
65,-0.005549665800870978,-0.005324566168421113,-0.005063807187222183,-0.004819136765930576,-0.0044364520642512445,-0.004008934686298181,-0.0036468939527745745,-0.0034880761194188495,-0.003338551900368776,-0.0032592628659308086
66,-0.005764672505115922,-0.005528716448273995,-0.0052553586165103765,-0.004998871251709242,-0.004597776871402925,-0.004149911775103772,-0.003770928852734853,-0.0036047893767256005,-0.0034484446155372264,-0.003365570032284192
67,-0.005990012678887,-0.005742714120411134,-0.005456166281125684,-0.005187284882889028,-0.004766846533171618,-0.004297564559066852,-0.003900731649827255,-0.0037268759535720483,-0.003563342900341076,-0.003476689616833303
68,-0.0062261259742949875,-0.005967001081948686,-0.005666667162459023,-0.005384803492852097,-0.004944058697401424,-0.0044522470648788665,-0.004036612513607898,-0.0038546254937240174,-0.003683516631664314,-0.0035928809016810568
69,-0.0064734437147620505,-0.006202017464925961,-0.005887302605284937,-0.0055918616868967045,-0.005129824339646289,-0.004614328868139157,-0.004178897173445561,-0.003988342783737736,-0.0038092502482553227,-0.0037144173590899165
70,-0.006732381463351548,-0.006448195735244024,-0.006118513966225765,-0.005808899725937821,-0.005324566168421087,-0.004784194655922667,-0.004327927078040356,-0.004128348081457305,-0.003940843194169086,-0.0038415871402853745
71,-0.007003329966992827,-0.006705953410893565,-0.006360737147493143,-0.006036359523301645,-0.005528716448274088,-0.004962243466219903,-0.004484059385585369,-0.0042749773253754775,-0.004078610281700252,-0.0039746935010704365
72,-0.007286644238188842,-0.006975684179078973,-0.006614395822460106,-0.006274679589553447,-0.005742714120411175,-0.005148887528390328,-0.004647666738315947,-0.004428582188892291,-0.00422288194616279,-0.004114055140517865
73,-0.00758263052555821,-0.007257747175270247,-0.006879893139368135,-0.006524288739235802,-0.005967001081948878,-0.00534455061510171,-0.004819136765931249,-0.004589529936159271,-0.004374004358977212,-0.004260006423737197
74,-0.007891530923598119,-0.007552454176154844,-0.007157601671505705,-0.006785598352727245,-0.006202017464925852,-0.005549665800871141,-0.004998871251709561,-0.004758203027316797,-0.004532339358398136,-0.004412897453478974
75,-0.008213505385276293,-0.007860054456482144,-0.007447851368864576,-0.007058992967472399,-0.006448195735244003,-0.005764672505116675,-0.005187284882889378,-0.00493499841095274,-0.004698264149002937,-0.0045730939479905605
76,-0.00854861093387882,-0.00818071707125562,-0.007750915260694735,-0.007344818957540132,-0.0067059534108934275,-0.005990012678887195,-0.005384803492852471,-0.005120326429737349,-0.004872170711405966,-0.0047409768739583025
77,-0.00889677793031155,-0.008514510355353201,-0.008066992664506136,-0.007643371051789419,-0.00697568417907889,-0.00622612597429497,-0.005591861686897123,-0.005314609251942241,-0.00505446485248523,-0.004916941773347122
78,-0.009257783346773754,-0.008861378489380487,-0.00839618968033834,-0.007954876442385168,-0.007257747175270261,-0.006473443714761753,-0.005808899725938425,-0.005518278726332039,-0.005245564813698027,-0.005101397711430074
79,-0.009631221136553285,-0.009221115071333559,-0.008738496795763388,-0.00827947625205169,-0.007552454176154796,-0.006732381463352024,-0.006036359523300273,-0.005731773541037465,-0.005445899340463594,-0.0052947657600561394
80,-0.010016469982013622,-0.009593333767733168,-0.009093763505020152,-0.008617204166040093,-0.007860054456482123,-0.00700332996699257,-0.00627467958955358,-0.005955535548502134,-0.005655905099359089,-0.005497476915290304
81,-0.01041265895696701,-0.009977436304373085,-0.009461669963499994,-0.008967962100886451,-0.008180717071256189,-0.007286644238188562,-0.006524288739236474,-0.006190005098574972,-0.005876023311839029,-0.005709969331773294
82,-0.010818631961629535,-0.010372578304490971,-0.009841695865917783,-0.009331492884798183,-0.008514510355353545,-0.007582630525559297,-0.006785598352728117,-0.0064356152010722825,-0.006106695453747533,-0.005932684737830789
83,-0.011232912179014357,-0.01077763379723603,-0.010233086961875283,-0.009707350073338197,-0.00886137848938058,-0.00789153092359813,-0.007058992967472278,-0.006692784318099594,-0.00634835784919564,-0.006166063875448118
84,-0.011653668253877874,-0.011191159603247715,-0.010634819913537165,-0.010094865228077498,-0.009221115071333648,-0.00821350538527679,-0.007344818957540997,-0.006961907566753241,-0.006601434966476757,-0.006410540788519475
85,-0.01207868439026661,-0.01161136125090301,-0.011045566560179264,-0.01049311325331401,-0.009593333767733152,-0.008548610933878601,-0.007643371051789274,-0.007243346095894173,-0.006866331203217335,-0.006666535761770533
86,-0.012505337066735728,-0.01203606256869182,-0.011463659080499726,-0.010900876721727286,-0.009977436304373248,-0.008896777930311867,-0.007954876442385376,-0.007537414389386084,-0.007143420929977131,-0.006934446692801771
87,-0.012930581526248184,-0.012462681603505877,-0.011887058022523996,-0.011316610523816191,-0.01037257830449091,-0.009257783346774056,-0.008279476252052175,-0.007844365245556215,-0.007433036547770068,-0.007214638662469439
88,-0.013350951536873865,-0.012888215980011573,-0.012313325675759735,-0.011738408638613782,-0.01077763379723607,-0.009631221136554086,-0.008617204166041111,-0.008164372193416515,-0.007735454308987798,-0.007507431456775616
89,-0.013762576048007368,-0.013309241171175547,-0.01273960774637282,-0.012163975323136796,-0.011191159603247743,-0.010016469982013939,-0.008967962100886968,-0.00849750913560273,-0.008050877656614984,-0.007813084789805321
90,-0.014161216181652652,-0.013721925304153785,-0.013162626699088555,-0.01259060351687621,-0.011611361250903101,-0.01041265895696792,-0.009331492884798733,-0.008843727063246421,-0.00837941785887934,-0.008131780986365083
