,latitude,longitude,car_park_no,cluster
1694,1.3568738297975131,103.93665140890116,TM30,22
1695,1.3587518558468132,103.93665544860933,TM31,22
1696,1.3595356023853955,103.93523070362784,TM32,22
1697,1.356363667330087,103.93607194832354,TM33,22
1698,1.3572198097447834,103.93343290207541,TM34,22
1699,1.3599148478753333,103.93413927453078,TM35,22
1700,1.3571629858521417,103.93907329779317,TM36,22
1701,1.3561768438388753,103.93860723824379,TM37,22
1702,1.363095228751709,103.95216148876725,TM4,10
1703,1.3475301018629275,103.94141848248198,TM41,22
1704,1.3489369754158578,103.93350745764535,TM42,22
1705,1.3533871776405721,103.95223471017073,TM43,5
1706,1.3592000246240483,103.95631685027023,TM44,5
1707,1.3553474172451743,103.93300299723555,TM45,22
1708,1.3585465791925986,103.93844376960809,TM46,22
1709,1.356712431701248,103.94015046680171,TM47,22
1710,1.3470782741084315,103.9341414275888,TM48,22
1711,1.3639797760612586,103.95302368936657,TM49,10
1712,1.363108337353694,103.9540792437761,TM5,10
1713,1.356448330445218,103.93111964390374,TM50,22
1714,1.351182903911401,103.92875608502416,TM51,22
1715,1.3638640262558084,103.9557136213266,TM52,10
1716,1.3548531044473473,103.9386890231192,TM53,22
1717,1.3535292620183683,103.9299226435963,TM54,22
1718,1.3548790403480122,103.93070583108579,TM55,22
1719,1.3532478142057665,103.95634938237889,TM6,5
1720,1.3528089666562568,103.95762516100383,TM7,5
1721,1.3515006916954586,103.95720428465218,TM8,5
1722,1.3533454115738093,103.9590930658871,TM9,5
1723,1.3360648632051915,103.85659747937642,TPB1,8
1724,1.2769075748749301,103.8430074041102,TPL,6
1725,1.2754814002517192,103.84229740226186,TPM,6
1726,1.3365036597802444,103.85113356861105,TPMA,8
1727,1.333054806550548,103.84524077047003,TPMB,8
1728,1.341935891063596,103.8461606844804,TPMC,8
1729,1.3302080747111178,103.84491120787658,TPMD,8
1730,1.3384461334209439,103.84984683207784,TPME,8
1731,1.3351666442919863,103.84559712610049,TPMF,8
1732,1.33824903865788,103.84407314986845,TPMG,8
1733,1.3320229196131728,103.85739786556677,TPMH,8
1734,1.3342662016697917,103.84548050687795,TPMJ,8
1735,1.3309769044577404,103.85857183592455,TPMK,8
1736,1.3382258757437402,103.85892321210036,TPML,8
1737,1.339014103039561,103.85800372941608,TPMM,8
1738,1.3348930156411019,103.84857845222837,TPMN,8
1739,1.3366841663997724,103.84480135435707,TPMP,8
